TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN,TITLE,DB,ISSN,e-ISSN,ISBN,e-ISBN
Neuropathology,K,0919-6544,,,,Neuropathology,P,0919-6544,,,,,,,,,
Nutrition and Metabolic Insights,A,1178-6388,,,,Nutrition and Metabolic Insights,G,,1178-6388,,,,,,,,
BioMedical Engineering OnLine,K,1475-925X,,,,BioMedical Engineering OnLine,P,1475-925X,,,,,,,,,
Building Feminist Movements: Global Perspectives,Q,9781842778500,,,,Building Feminist Movements: Global Perspectives,S,9781842778500,,,,,,,,,
Advances in Human-Computer Interaction,A,16875893,,,,Advances in Human-Computer Interaction,J,,,,,,,,,,
Computer Hardware Industry Profile: Belgium,J,,,,,Computer Hardware Industry Profile: Belgium,L,,,,,,,,,,
Journal of Sexual Aggression,E,13552600,,,,Journal of Sexual Aggression,P,,,,,Journal of Sexual Aggression,Q,13552600,,,
Computerworld Digital Magazine,J,,,,,Computerworld Digital Magazine,L,,,,,Computerworld Digital Magazine,P,,,,
Journal of General Psychology,E,221309,,,,Journal of General Psychology,K,221309,,,,Journal of General Psychology,L,221309,,,
Design Issues,J,7479360,,,,Design Issues,L,747936X,,,,,,,,,
